No,SAP CODE,STORE NAME,LAT,LONG,Store Address
187,E728,ERAFONE MB KAPUK RAYA,-6.1380633,106.760864,"Jalan Kapuk Muara Raya Blok A Kav 2, RT.02/RW.03, Kelurahan Kapuk Muara , Kecamatan Penjaringan , Kota Jakarta  Utara"
188,M123,ERAFONE N MORE SEMPER,-6.1230802,106.9166366,"Jl. Kramat Jaya Raya No.27, RT.9/RW.1, Tugu Utara, Kec. Koja, Jkt Utara, Daerah Khusus Ibukota Jakarta 14260"
189,E115,ERAFONE PANTAI INDAH KAPUK MALL,-6.1077889,106.7406491,"Mall PIK Avenue Lt. 2 No. 13C, Jl. Pantai Indah Kapuk No.6, RW.2, Kamal Muara, Kec. Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14470"
190,E049,ERAFONE PLUIT VILLAGE,-6.1217874,106.7848212,"Pluit Village Mall Lantai 3 #55, Jl. Pluit Indah No.RT.15, RW.4, Pluit, Kec. Penjaringan, Daerah Khusus Ibukota Jakarta"
191,E338,ERAFONE RUKO MUARA KARANG,-6.1166411,106.778734,"Jalan Pluit Karang Raya No.173 Blok A7U Kav. No.14, Kel. Pluit, Kec. Penjaringan, Jakarta Utara 14450"
192,E173,ERAFONE RUKO TELUK GONG,-6.1380564,106.7823809,"Jl. Teluk Gong Raya No.35A, RW.8, Pejagalan, Kec. Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14450"
193,Q073,GERAI ISAT OOREDOO EMPORIUM PLUIT M,-6.1273965,106.7910322,"Mall Emporium Pluit, Lt. 1 No. 50, Jl. Pluit Putra Kencana, RT.23/RW.8, Penjaringan, Kec. Penjaringan, Kota Jkt Utara, 14440"
194,G351,ELEC CITY JABABEKA,-6.2896054,107.1719254,"Jl. Usmar Ismail Blok O, Jl. H.Usmar Ismail, Tanjungsari, Mekarmukti, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17550"
195,G436,ERABLUE BOSIH RAYA BEKASI,-6.2403664,107.0883612,"JL. B. Bosih Nomor 168, RT 005, RW 002, Desa Wanasari, Kecamatan Cibitung, Kabupaten Bekasi, Provinsi Jawa Barat"
196,G461,ERABLUE CIKARANG SUKATANI BEKASI,-6.2176958,107.1656769,"Jl. Raya Cikarang - Sukatani No.106, Sukaraya, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530"
197,G462,ERABLUE RE. MARTADINATA BEKASI,-6.2588575,107.1468574,"P4RW+CQP, Jl. RE. Martadinata, Cikarang Kota, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17530"
198,M206,ERAFONE AND MORE AEON DELTAMAS,-6.3519333,107.1960247,"Aeon Mall Deltamas Lantai 1 No 802-803A. Jl. Ganesha Boulevard Hegarmukti, Kec. Cikarang Pusat, Kabupaten Bekasi, Jawa Barat 17530"
199,E009,ERAFONE LIPPO MALL CIKARANG,-6.3339887,107.1375946,"Lippo Mall Cikarang Lt. Dasar #56, Jl. MH. Thamrin No.56, Cibatu, Cikarang Sel., Bekasi, Jawa Barat 17530"
200,E248,ERAFONE RUKO BOSIH RAYA CIBITUNG,-6.2566245,107.0858388,"Jl. Raya Bosih KP.Tanah Merdeka RT 07/026 Desa Wanasari Cibitung ,Bekasi"
201,E220,ERAFONE RUKO CIBARUSAH,-6.3593467,107.1183592,"Jl. Serang – Cibarusah, Rt.11/Rw.06, Kelurahan Sukadami, Kecamatan Cikarang Selatan"
202,E324,ERAFONE RUKO CIKARANG UTARA,-6.2776289,107.1810256,"Jl. Citanduy Raya Ruko Djav No. A.1b 20-21 Simpangan, Cikarang Utara bekasi 17534"
203,E350,ERAFONE RUKO PILAR SUKATANI,-6.2440454,107.1601036,"Jl. Ki Hajar Dewantara No.14, RT.5/RW.1, Sukaraya, Kec. Karangbahagia, Kabupaten Bekasi, Jawa Barat 17530"
204,E421,ERAFONE RUKO TARUM BARAT,-6.3172591,107.161469,JL. Tarum Barat II No F1 Kel. Jayamukti Kec. Cikarang Pusat. 17531
205,E990,ERAFONE YOS SUDARSO CIKARANG UTARA,-6.2563711,107.1465082,"Jl. Yos Sudarso No.32. Kel. Karangasih. Kec,Cikarang Utara ,Kab,Bekasi, Bekasi 17534"
206,G052,HYPERMART LIPPO CIKARANG,-6.3347659,107.1369557,"Mall Lippo Cikarang, Cikarang, Jl. M.H. Thamrin, Cibatu, Cikarang Sel., Bekasi, Jawa Barat 17530"
207,G063,LOTTEMART CIBITUNG,-6.2885467,107.0875004,"Kawasan Komersial Bekasi Fajar, Blok A Ganda Mekar, Cibitung, Gandamekar, Cikarang Bar., Bekasi, Jawa Barat 17530"
208,G148,LOTTEMART CIKARANG,-6.2735605,107.1225434,"Jalan Kampung Pilar No.57, RT.2/RW.1, Cikarang Kota, Cikarang Utara, Bekasi, Jawa Barat 17530"
209,M088,MEGASTORE RUKO JABABEKA CIKARANG,-6.2997026,107.1631993,"Jl. Kasuari Raya Blok A 21-22, Mekarmukti, Cikarang Utara, Kab. Bekasi, Jawa Barat 17530"
210,M197,ENM KELAPA GADING BOULEVARD,-6.1582913,106.9003765,Jl. Kelapa Gading Boulevard blok WD-2 kav No. 14-15 Kelapa Gading Timur Kec. Kelapa Gading Timur Jakarta Utara 14240
211,E048,ERAFONE MAL KELAPA GADING 1,-6.1581645,106.9077964,"Mall Kelapa Gading 1 Lt. Dasar Blok G No. 161, Jl. Boulevard Raya No.13, RW.18, Klp. Gading Tim., Kec. Klp. Gading, Kota Jkt Utara, Jakarta 14240"
212,E869,ERAFONE MB ALUR LAUT KOJA,-6.1264222,106.899326,"Jl. Bandar raya No.5 RT.004/006, Kel.Rawa Badak, Kec.Koja Jakarta Utara (14230)"
213,E885,ERAFONE MB SEDAYU CITY KELAPA GADIN,-6.1455705,106.9684878,"Ruko Sedayu Kelapa Gading Blok SCBRB No.25, Kec Kelapa Gading, Kota Jakarta Utara, Daerah Khusus Ibu kota Jakarta 14240"
214,E479,ERAFONE RUKO ROROTAN,-6.149117,106.9556895,"Jl. Rorotan, Rt.09/Rw.06, Rorotan, Kec Cilincing, Kota Jakarta Utara, Daerah Khusus Ibu kota Jakarta 14140"
215,E315,ERAFONE RUKO SUKAPURA JAKARTA UTARA,-6.1447897,106.9224586,"Jl .Tipar cakung No 7 Rt.6/RW 1,Sukapura,Kec.cilincing,kota jakarta utara 14140"
216,N129,HUAWEI MALL KELAPA GADING,-6.1585348,106.9078834,"Mall Kelapa Gading 3 lantai dasar. Jln Boulevard kelapa gading, Kec.Kelapa Gading Kotamadya Jakarta Utara 14240"
217,M055,MEGASTORE MAL KELAPA GADING 2,-6.1570381,106.9085678,"Mall Kelapa Gading 5 Lt. Dasar #G-69 Jl. Boulevard Raya No.13, RW.18, Klp. Gading Tim., Kec. Klp. Gading, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14240"
218,Q011,XLC MAL KELAPA GADING I,-6.1582951,106.9077651,"Mall Kelapa Gading I LT GF No 182 B,  Jl. Bulevar kelapa gading Blok M, RT.13/RW.18, Klp. Gading Tim. Jkt Utara, 14240"
219,G355,ELEC CITY MAL CIPINANG INDAH,-6.2391673,106.8943323,"Cipinang Indah Mall Lt.2 Jl. Raya Kalimalang No.18, RW.3, Pd. Bambu, Kec. Duren Sawit, Kota Jakarta Timur, Jakarta 13420"
220,G179,ELEC CITY RUKO PEMUDA,-6.193816,106.8919897,"Jl. Pemuda, RT.1/RW.8, Jati, Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220"
